iter	Logloss
0	0.6491246278
1	0.6124818095
2	0.5781752216
3	0.5489384461
4	0.5217667329
5	0.497083846
6	0.4750640205
7	0.4560096208
8	0.4401689671
9	0.4238209734
10	0.4123581191
11	0.3999552569
12	0.3863065659
13	0.373281658
14	0.3626676301
15	0.3559421699
16	0.3478442222
17	0.3405223192
18	0.3333067947
19	0.3278867281
20	0.3221398208
21	0.3179215761
22	0.3128368382
23	0.3078990709
24	0.3038049711
25	0.2971916275
26	0.2919743937
27	0.2908831524
28	0.2874024549
29	0.2837103176
30	0.2792435316
31	0.2743050386
32	0.2728608972
33	0.2693118352
34	0.2664049697
35	0.2634405501
36	0.260468262
37	0.2581887271
38	0.2553399016
39	0.2516842436
40	0.2494667621
41	0.2461307921
42	0.2436462163
43	0.2420736917
44	0.2394795815
45	0.237164473
46	0.2366838666
47	0.234559088
48	0.2325045484
49	0.230350787
50	0.2291274825
51	0.2272471996
52	0.226146327
53	0.2241180251
54	0.2227043158
55	0.2215667591
56	0.2201665868
57	0.219930153
58	0.2179241406
59	0.2165494535
60	0.2154104546
61	0.213633024
62	0.2127370425
63	0.2117938737
64	0.2109352318
65	0.2097227671
66	0.2079673501
67	0.2070614507
68	0.2062417273
69	0.2052571733
70	0.2040121508
71	0.2023761773
72	0.2016595578
73	0.2004346749
74	0.1988586818
75	0.1975572441
76	0.1961431261
77	0.1951539196
78	0.1944362097
79	0.193085768
80	0.1922440857
81	0.1912741646
82	0.1904871909
83	0.1899461612
84	0.1893525005
85	0.1884697265
86	0.187258769
87	0.1864250514
88	0.1856773045
89	0.1851704502
90	0.1840161156
91	0.182946975
92	0.1824646043
93	0.1820035112
94	0.1815624334
95	0.1811011133
96	0.1804714194
97	0.1798889875
98	0.1792080726
99	0.1788325708
